CH E 180B  - CHEM ENGINEER LAB,3.0,Letter Graded,T,1:00 PM-4:50 PM,"ENGR2, 1165",CHADA J P,SQUIRES T M,Space 4,Max 24
CH E 184A  - DESIGN CHEM PROCESS,3.0,Letter Graded,TR,9:30 AM-10:45 AM,"ENGR2, 1519",DOHERTY M F,CHADA J P,CHRISTOPHER P,Space 27
CH E 193  - INTERN IN INDUSTRY,1.0-4.0,Pass/No Pass,T.B.A.,T.B.A.,T.B.A.,T.B.A.,GORDON M J,Space 5,Max 5
CH E 196  - UNDERGRAD RESEARCH,2.0-4.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 5,Max 5,03822
CH E 198  - INDEPENDENT STUDIES,1.0-5.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 7,Max 7,03830
CHEM 1A  - GEN CHEM,3.0,Optional,MWF,9:00 AM-9:50 AM,"Buchanan Hall, 1910",SYLVESTER B M,Space 25,Max 300,04481
CHEM 1AL - GEN CHEMISTRY LAB,2.0,Optional,T,8:00 AM-10:30 AM,"PSB-N, 2637",MOYA E C,BERNT C M,Space Full,Max 20
CHEM 1B  - GENERAL CHEMISTRY,3.0,Optional,MWF,8:00 AM-8:50 AM,"Buchanan Hall, 1910",FELDWINN D L,Space Closed,Max 306,04671
CHEM 1BL - GEN CHEMISTRY LAB,2.0,Optional,M,1:00 PM-4:50 PM,"PSB-N, 2637",TANG T,BERNT C M,Space 1,Max 20
CHEM 3B  - GEN CHEM MAJORS,3.0,Optional,MWF,9:00 AM-9:50 AM,"ILP, 1101",CARLINI A S,MORIN E J,Space 52,Max 175
CHEM 6AL - ORGANIC CHEM LAB,3.0,Optional,MW,11:00 AM-11:50 AM,"Chemistry Building, 1179",GAINER M J,Space 9,Max 360,05249
CHEM 6BH - ORG CHEM LAB (RSCH),3.0,Letter Graded,T.B.A.,T.B.A.,T.B.A.,T.B.A.,PETTUS T R,Space 8,Max 10
CHEM 6BL - ORGANIC CHEM LAB,3.0,Optional,MW,1:00 PM-4:50 PM,"PSB-N, 1652",SEPETOV L,GAINER M J,Space 1,Max 18
CHEM 6CH - ORG CHEM LAB (RSCH),3.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,PETTUS T R,Space 10,Max 10
CHEM CS 11B  - CCS GEN CHEM,1.0-6.0,Pass/No Pass,TR,11:00 AM-12:15 PM,"Girvetz Hall, 2128",LAVERMAN L E,Space 2,Max 25,06288
CHEM 99  - INTRO TO RESEARCH,1.0-3.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 20,Max 20,05462
CHEM 104  - SCI&ENG ENERGY CONV,3.0,Letter Graded,TR,3:30 PM-4:45 PM,"ENGR2, 1519",MCFARLAND E W,Space 1,Max 5,05470
CHEM 109A  - ORGANIC CHEMISTRY,4.0,Optional,MWF,3:00 PM-3:50 PM,"Chemistry Building, 1179",LEWIS R B,Space 7,Max 340,05488
CHEM 109B  - ORGANIC CHEMISTRY,4.0,Optional,MWF,10:00 AM-10:50 AM,"ILP, 1203",ANYIKA M,Space 85,Max 350,05496
CHEM 109C  - ORGANIC CHEMISTRY,4.0,Optional,Cancel,Cancel,Cancel,Cancel,Space Cancel,Max 50,05520
